benchmark,run,result
quadratic,baseline,785
quadratic,traced,791
quadratic,tracedAndLVN,739
primes-between,baseline,574100
primes-between,traced,654188
primes-between,tracedAndLVN,654188
birthday,baseline,484
birthday,traced,479
birthday,tracedAndLVN,456
orders,baseline,5352
orders,traced,6209
orders,tracedAndLVN,6208
sum-check,baseline,5018
sum-check,traced,4986
sum-check,tracedAndLVN,4986
palindrome,baseline,298
palindrome,traced,401
palindrome,tracedAndLVN,398
totient,baseline,253
totient,traced,297
totient,tracedAndLVN,297
relative-primes,baseline,1923
relative-primes,traced,2770
relative-primes,tracedAndLVN,2716
hanoi,baseline,99
hanoi,traced,158
hanoi,tracedAndLVN,158
is-decreasing,baseline,127
is-decreasing,traced,141
is-decreasing,tracedAndLVN,141
check-primes,baseline,8468
check-primes,traced,8712
check-primes,tracedAndLVN,7965
sum-sq-diff,baseline,3038
sum-sq-diff,traced,3021
sum-sq-diff,tracedAndLVN,2717
fitsinside,baseline,10
fitsinside,traced,12
fitsinside,tracedAndLVN,12
fact,baseline,229
fact,traced,331
fact,tracedAndLVN,310
loopfact,baseline,116
loopfact,traced,111
loopfact,tracedAndLVN,101
recfact,baseline,104
recfact,traced,141
recfact,tracedAndLVN,133
factors,baseline,72
factors,traced,74
factors,tracedAndLVN,74
perfect,baseline,232
perfect,traced,245
perfect,tracedAndLVN,245
bitshift,baseline,167
bitshift,traced,199
bitshift,tracedAndLVN,183
digital-root,baseline,247
digital-root,traced,302
digital-root,tracedAndLVN,302
up-arrow,baseline,252
up-arrow,traced,304
up-arrow,tracedAndLVN,304
sum-divisors,baseline,159
sum-divisors,traced,183
sum-divisors,tracedAndLVN,182
ackermann,baseline,1464231
ackermann,traced,2067798
ackermann,tracedAndLVN,2067798
pythagorean_triple,baseline,61518
pythagorean_triple,traced,timeout
pythagorean_triple,tracedAndLVN,timeout
dot-product,baseline,88
dot-product,traced,91
dot-product,tracedAndLVN,incorrect
euclid,baseline,563
euclid,traced,605
euclid,tracedAndLVN,544
binary-fmt,baseline,100
binary-fmt,traced,153
binary-fmt,tracedAndLVN,153
lcm,baseline,2326
lcm,traced,2844
lcm,tracedAndLVN,2843
gcd,baseline,46
gcd,traced,44
gcd,tracedAndLVN,44
catalan,baseline,659378
catalan,traced,836525
catalan,tracedAndLVN,836525
armstrong,baseline,133
armstrong,traced,161
armstrong,tracedAndLVN,158
pascals-row,baseline,146
pascals-row,traced,146
pascals-row,tracedAndLVN,129
collatz,baseline,169
collatz,traced,171
collatz,tracedAndLVN,171
sum-bits,baseline,73
sum-bits,traced,88
sum-bits,tracedAndLVN,87
rectangles-area-difference,baseline,14
rectangles-area-difference,traced,14
rectangles-area-difference,tracedAndLVN,14
mod_inv,baseline,558
mod_inv,traced,603
mod_inv,tracedAndLVN,515
reverse,baseline,46
reverse,traced,48
reverse,tracedAndLVN,47
fizz-buzz,baseline,3652
fizz-buzz,traced,3656
fizz-buzz,tracedAndLVN,3255
bitwise-ops,baseline,1690
bitwise-ops,traced,1950
bitwise-ops,tracedAndLVN,1949
